,0,1,2,3,4,5,6,7,8,9,10
5339,Sniper,Rubick,Tidehunter,Doom,Puck,Leshrac,Ogre Magi,Pugna,Juggernaut,Magnus,2
5340,Doom,Invoker,Shadow Fiend,Sniper,Sand King,Keeper of the Light,Magnus,Mirana,Lifestealer,Witch Doctor,1
5341,Gyrocopter,Venomancer,Keeper of the Light,Nyx Assassin,Bloodseeker,Lion,Pudge,Nature's Prophet,Windrunner,Slardar,2
5342,Nature's Prophet,Weaver,Lina,Bloodseeker,Sand King,Lich,Razor,Troll Warlord,Venomancer,Clinkz,1
5343,Gyrocopter,Tidehunter,Lone Druid,Juggernaut,Storm Spirit,Lifestealer,Puck,Lich,Viper,Centaur Warrunner,2
5344,Jakiro,Puck,Lifestealer,Sand King,Spirit Breaker,Omniknight,Earthshaker,Necrolyte,Pudge,Lion,2
5345,Rubick,Slark,Dark Seer,Anti-Mage,Juggernaut,Windrunner,Bane,Chaos Knight,Lone Druid,Lina,2
5346,Bounty Hunter,Pudge,Alchemist,Invoker,Sniper,Sand King,Pugna,Clockwerk,Rubick,Phantom Lancer,2
5347,Centaur Warrunner,Luna,Rubick,Dark Seer,Storm Spirit,Pudge,Sniper,Gyrocopter,Mirana,Omniknight,1
5348,Templar Assassin,Shadow Demon,Huskar,Mirana,Undying,Queen of Pain,Windrunner,Dark Seer,Sand King,Luna,2
5349,Lion,Riki,Juggernaut,Clinkz,Nyx Assassin,Lifestealer,Templar Assassin,Drow Ranger,Magnus,Crystal Maiden,2
5350,Silencer,Morphling,Spirit Breaker,Sand King,Kunkka,Queen of Pain,Undying,Riki,Disruptor,Mirana,2
5351,Windrunner,Disruptor,Medusa,Warlock,Riki,Jakiro,Phantom Lancer,Queen of Pain,Beastmaster,Vengeful Spirit,1
5352,Phantom Assassin,Lifestealer,Storm Spirit,Shadow Demon,Silencer,Bounty Hunter,Puck,Queen of Pain,Skeleton King,Rubick,2
5353,Bounty Hunter,Phantom Lancer,Sand King,Jakiro,Nyx Assassin,Rubick,Nature's Prophet,Invoker,Huskar,Slardar,1
5354,Lifestealer,Pudge,Windrunner,Templar Assassin,Shadow Demon,Enigma,Anti-Mage,Crystal Maiden,Dark Seer,Dazzle,2
5355,Bounty Hunter,Templar Assassin,Jakiro,Omniknight,Weaver,Rubick,Enigma,Sniper,Invoker,Timbersaw,1
5356,Shadow Fiend,Disruptor,Venomancer,Dragon Knight,Drow Ranger,Luna,Viper,Dark Seer,Axe,Batrider,1
5357,Zeus,Brewmaster,Vengeful Spirit,Magnus,Drow Ranger,Gyrocopter,Lone Druid,Windrunner,Keeper of the Light,Tiny,1
5358,Anti-Mage,Jakiro,Warlock,Silencer,Ursa,Sniper,Enigma,Luna,Treant Protector,Broodmother,1
5359,Keeper of the Light,Wisp,Lifestealer,Invoker,Faceless Void,Doom,Storm Spirit,Nature's Prophet,Anti-Mage,Puck,1
5360,Tidehunter,Storm Spirit,Rubick,Phantom Lancer,Keeper of the Light,Puck,Mirana,Ursa,Ogre Magi,Nyx Assassin,1
5361,Omniknight,Nature's Prophet,Sand King,Invoker,Alchemist,Kunkka,Earthshaker,Doom,Mirana,Clinkz,1
5362,Witch Doctor,Mirana,Bloodseeker,Kunkka,Bane,Viper,Earthshaker,Tidehunter,Centaur Warrunner,Drow Ranger,1
5363,Necrolyte,Invoker,Venomancer,Zeus,Bounty Hunter,Meepo,Keeper of the Light,Beastmaster,Clockwerk,Silencer,1
5364,Meepo,Lion,Keeper of the Light,Mirana,Outworld Devourer,Windrunner,Nyx Assassin,Juggernaut,Sniper,Ursa,2
5365,Queen of Pain,Chen,Weaver,Jakiro,Drow Ranger,Lina,Templar Assassin,Nyx Assassin,Lifestealer,Ancient Apparition,2
5366,Shadow Shaman,Axe,Timbersaw,Gyrocopter,Lich,Huskar,Ursa,Lion,Windrunner,Nature's Prophet,1
5367,Juggernaut,Drow Ranger,Lina,Sven,Brewmaster,Silencer,Axe,Sniper,Broodmother,Rubick,2
5368,Lone Druid,Sven,Alchemist,Queen of Pain,Tiny,Centaur Warrunner,Zeus,Ogre Magi,Spectre,Lina,2
5369,Meepo,Juggernaut,Necrolyte,Pugna,Tidehunter,Enchantress,Axe,Venomancer,Tinker,Vengeful Spirit,2
5370,Shadow Demon,Nyx Assassin,Batrider,Bounty Hunter,Phantom Lancer,Mirana,Lycanthrope,Pudge,Templar Assassin,Silencer,1
5371,Chen,Lich,Luna,Doom,Warlock,Tidehunter,Magnus,Timbersaw,Naga Siren,Sniper,1
5372,Keeper of the Light,Sand King,Faceless Void,Mirana,Nyx Assassin,Shadow Fiend,Dark Seer,Batrider,Rubick,Drow Ranger,1
5373,Chaos Knight,Outworld Devourer,Sniper,Witch Doctor,Warlock,Necrolyte,Brewmaster,Pudge,Axe,Morphling,1
5374,Nyx Assassin,Silencer,Night Stalker,Bane,Phantom Lancer,Tiny,Queen of Pain,Keeper of the Light,Faceless Void,Axe,1
5375,Dark Seer,Enigma,Invoker,Treant Protector,Phantom Lancer,Shadow Fiend,Lone Druid,Anti-Mage,Axe,Tinker,1
5376,Nyx Assassin,Doom,Invoker,Kunkka,Sven,Puck,Bloodseeker,Centaur Warrunner,Morphling,Lion,2
5377,Leshrac,Wisp,Lone Druid,Invoker,Magnus,Centaur Warrunner,Kunkka,Clockwerk,Sven,Windrunner,2
5378,Shadow Demon,Ursa,Spectre,Nature's Prophet,Necrolyte,Weaver,Troll Warlord,Dark Seer,Crystal Maiden,Tiny,2
5379,Dazzle,Gyrocopter,Lifestealer,Storm Spirit,Phantom Lancer,Windrunner,Lion,Tinker,Bounty Hunter,Sven,2
5380,Storm Spirit,Invoker,Lifestealer,Phantom Lancer,Leshrac,Night Stalker,Lich,Shadow Fiend,Medusa,Juggernaut,2
5381,Vengeful Spirit,Weaver,Pudge,Magnus,Beastmaster,Jakiro,Lion,Centaur Warrunner,Clockwerk,Shadow Fiend,1
5382,Lion,Slark,Bane,Witch Doctor,Alchemist,Jakiro,Tiny,Invoker,Anti-Mage,Shadow Fiend,1
5383,Doom,Tidehunter,Crystal Maiden,Shadow Fiend,Juggernaut,Axe,Queen of Pain,Lich,Puck,Lifestealer,2
5384,Batrider,Alchemist,Rubick,Crystal Maiden,Windrunner,Lifestealer,Shadow Shaman,Gyrocopter,Puck,Vengeful Spirit,2
5385,Slardar,Skeleton King,Spectre,Disruptor,Queen of Pain,Bounty Hunter,Warlock,Slark,Venomancer,Shadow Fiend,2
5386,Axe,Necrolyte,Nyx Assassin,Phantom Assassin,Dazzle,Puck,Chaos Knight,Luna,Invoker,Sniper,1
5387,Luna,Lion,Windrunner,Keeper of the Light,Magnus,Shadow Fiend,Leshrac,Zeus,Beastmaster,Nature's Prophet,1
5388,Windrunner,Invoker,Earthshaker,Drow Ranger,Batrider,Spectre,Viper,Rubick,Troll Warlord,Keeper of the Light,2
5389,Drow Ranger,Magnus,Broodmother,Nature's Prophet,Luna,Invoker,Sand King,Alchemist,Leshrac,Huskar,1
5390,Ancient Apparition,Templar Assassin,Earthshaker,Witch Doctor,Luna,Shadow Demon,Windrunner,Medusa,Slark,Ursa,1
5391,Phantom Lancer,Windrunner,Pudge,Tinker,Clockwerk,Puck,Sven,Nature's Prophet,Bloodseeker,Meepo,2
5392,Lone Druid,Timbersaw,Puck,Dazzle,Lifestealer,Nyx Assassin,Lina,Chen,Clinkz,Tiny,1
5393,Beastmaster,Magnus,Nature's Prophet,Dragon Knight,Pudge,Ursa,Lone Druid,Puck,Invoker,Sven,2
5394,Keeper of the Light,Viper,Enigma,Templar Assassin,Vengeful Spirit,Bounty Hunter,Pudge,Centaur Warrunner,Silencer,Phantom Lancer,1
5395,Queen of Pain,Nature's Prophet,Clinkz,Skeleton King,Spirit Breaker,Nyx Assassin,Lina,Clockwerk,Enigma,Riki,2
5396,Rubick,Chaos Knight,Magnus,Sand King,Tidehunter,Shadow Demon,Kunkka,Keeper of the Light,Dark Seer,Gyrocopter,2
5397,Drow Ranger,Kunkka,Storm Spirit,Timbersaw,Phantom Lancer,Doom,Shadow Demon,Enigma,Lifestealer,Naga Siren,1
5398,Clinkz,Centaur Warrunner,Timbersaw,Faceless Void,Lina,Anti-Mage,Pudge,Lich,Windrunner,Lone Druid,2
5399,Pudge,Dragon Knight,Omniknight,Luna,Necrolyte,Shadow Demon,Morphling,Magnus,Witch Doctor,Troll Warlord,2
5400,Pudge,Kunkka,Magnus,Gyrocopter,Centaur Warrunner,Huskar,Tinker,Alchemist,Nature's Prophet,Invoker,1
5401,Treant Protector,Enigma,Axe,Beastmaster,Bloodseeker,Lich,Bane,Tiny,Phantom Lancer,Anti-Mage,1
5402,Pudge,Invoker,Shadow Shaman,Queen of Pain,Drow Ranger,Keeper of the Light,Bane,Undying,Luna,Death Prophet,2
5403,Slark,Nature's Prophet,Windrunner,Pudge,Rubick,Queen of Pain,Axe,Witch Doctor,Zeus,Lifestealer,2
5404,Pudge,Luna,Tidehunter,Shadow Shaman,Sven,Drow Ranger,Timbersaw,Shadow Demon,Kunkka,Tiny,1
5405,Brewmaster,Tinker,Sven,Batrider,Ogre Magi,Juggernaut,Queen of Pain,Shadow Demon,Storm Spirit,Lifestealer,2
5406,Lina,Batrider,Bounty Hunter,Tidehunter,Troll Warlord,Nature's Prophet,Pudge,Vengeful Spirit,Dark Seer,Phantom Lancer,1
5407,Necrolyte,Bounty Hunter,Mirana,Silencer,Axe,Windrunner,Pudge,Slark,Pugna,Lifestealer,2
5408,Witch Doctor,Nyx Assassin,Spectre,Windrunner,Enigma,Bounty Hunter,Doom,Pugna,Alchemist,Batrider,2
5409,Faceless Void,Earthshaker,Doom,Rubick,Puck,Nature's Prophet,Crystal Maiden,Drow Ranger,Queen of Pain,Shadow Shaman,1
5410,Brewmaster,Rubick,Leshrac,Alchemist,Clinkz,Slardar,Necrolyte,Weaver,Naga Siren,Silencer,2
5411,Lifestealer,Beastmaster,Windrunner,Naga Siren,Ancient Apparition,Shadow Demon,Slark,Puck,Alchemist,Vengeful Spirit,2
5412,Batrider,Broodmother,Clockwerk,Naga Siren,Leshrac,Lifestealer,Pudge,Gyrocopter,Nyx Assassin,Dark Seer,2
5413,Enigma,Sand King,Shadow Fiend,Sniper,Bounty Hunter,Lich,Nyx Assassin,Phantom Lancer,Queen of Pain,Puck,1
5414,Broodmother,Rubick,Pudge,Alchemist,Venomancer,Lina,Kunkka,Spirit Breaker,Silencer,Bounty Hunter,2
5415,Invoker,Phantom Assassin,Luna,Phantom Lancer,Undying,Sand King,Faceless Void,Pudge,Pugna,Nature's Prophet,2
5416,Sand King,Centaur Warrunner,Crystal Maiden,Silencer,Phantom Lancer,Zeus,Jakiro,Skeleton King,Mirana,Alchemist,1
5417,Clinkz,Lion,Sven,Rubick,Morphling,Tiny,Windrunner,Magnus,Puck,Invoker,1
5418,Ursa,Bounty Hunter,Invoker,Ancient Apparition,Omniknight,Batrider,Keeper of the Light,Windrunner,Treant Protector,Faceless Void,2
5419,Nature's Prophet,Batrider,Troll Warlord,Rubick,Sven,Windrunner,Tidehunter,Pudge,Riki,Faceless Void,1
5420,Warlock,Razor,Mirana,Queen of Pain,Lycanthrope,Enigma,Storm Spirit,Windrunner,Alchemist,Rubick,2
5421,Undying,Tidehunter,Juggernaut,Crystal Maiden,Mirana,Clockwerk,Ursa,Lich,Silencer,Zeus,2
5422,Invoker,Naga Siren,Pudge,Lina,Spectre,Ursa,Queen of Pain,Rubick,Shadow Shaman,Luna,2
5423,Slark,Anti-Mage,Batrider,Pudge,Lina,Tiny,Dark Seer,Mirana,Phantom Lancer,Nyx Assassin,1
5424,Phantom Lancer,Skeleton King,Invoker,Venomancer,Jakiro,Shadow Demon,Lifestealer,Batrider,Mirana,Doom,2
5425,Nature's Prophet,Bloodseeker,Chaos Knight,Jakiro,Troll Warlord,Crystal Maiden,Storm Spirit,Enigma,Lone Druid,Riki,2
5426,Magnus,Drow Ranger,Shadow Fiend,Earthshaker,Crystal Maiden,Disruptor,Nature's Prophet,Phantom Lancer,Doom,Timbersaw,2
5427,Spirit Breaker,Storm Spirit,Keeper of the Light,Enigma,Undying,Shadow Fiend,Sand King,Axe,Pugna,Bounty Hunter,1
5428,Pudge,Necrolyte,Sand King,Ursa,Lina,Invoker,Slark,Queen of Pain,Dragon Knight,Rubick,1
5429,Weaver,Shadow Fiend,Rubick,Crystal Maiden,Mirana,Gyrocopter,Slark,Nature's Prophet,Pudge,Windrunner,1
5430,Lion,Sniper,Venomancer,Omniknight,Rubick,Enigma,Ursa,Disruptor,Pudge,Dark Seer,1
5431,Jakiro,Weaver,Undying,Shadow Demon,Queen of Pain,Tinker,Nature's Prophet,Rubick,Lifestealer,Keeper of the Light,2
5432,Ancient Apparition,Axe,Gyrocopter,Clinkz,Disruptor,Batrider,Windrunner,Anti-Mage,Magnus,Keeper of the Light,1
5433,Pudge,Doom,Gyrocopter,Shadow Shaman,Batrider,Sand King,Queen of Pain,Lion,Meepo,Kunkka,1
5434,Kunkka,Night Stalker,Drow Ranger,Pudge,Wisp,Tidehunter,Ursa,Faceless Void,Crystal Maiden,Lifestealer,1
5435,Skeleton King,Juggernaut,Windrunner,Enigma,Beastmaster,Phantom Lancer,Shadow Fiend,Crystal Maiden,Magnus,Phantom Assassin,2
5436,Dazzle,Doom,Clinkz,Lion,Storm Spirit,Weaver,Rubick,Mirana,Troll Warlord,Witch Doctor,2
5437,Troll Warlord,Invoker,Nature's Prophet,Windrunner,Leshrac,Clockwerk,Silencer,Sniper,Earthshaker,Disruptor,2
5438,Sven,Axe,Earthshaker,Lina,Shadow Fiend,Keeper of the Light,Vengeful Spirit,Magnus,Tiny,Phantom Lancer,2
5439,Spectre,Mirana,Warlock,Outworld Devourer,Lifestealer,Pudge,Windrunner,Rubick,Drow Ranger,Batrider,2
5440,Enigma,Queen of Pain,Mirana,Juggernaut,Rubick,Earthshaker,Shadow Fiend,Windrunner,Axe,Pudge,1
5441,Pudge,Luna,Ancient Apparition,Kunkka,Leshrac,Death Prophet,Ogre Magi,Gyrocopter,Windrunner,Axe,1
5442,Doom,Disruptor,Enchantress,Templar Assassin,Mirana,Bloodseeker,Riki,Alchemist,Earthshaker,Broodmother,1
5443,Jakiro,Bounty Hunter,Sven,Omniknight,Queen of Pain,Rubick,Shadow Fiend,Enchantress,Tidehunter,Slark,2
5444,Lifestealer,Alchemist,Warlock,Invoker,Shadow Demon,Puck,Ancient Apparition,Chaos Knight,Mirana,Rubick,2
5445,Keeper of the Light,Huskar,Batrider,Lion,Phantom Lancer,Lifestealer,Shadow Demon,Enchantress,Tinker,Magnus,1
5446,Sniper,Rubick,Nature's Prophet,Keeper of the Light,Phantom Assassin,Bounty Hunter,Pudge,Tidehunter,Lifestealer,Wisp,2
5447,Axe,Vengeful Spirit,Earthshaker,Drow Ranger,Invoker,Luna,Clinkz,Storm Spirit,Ogre Magi,Enigma,1
5448,Crystal Maiden,Huskar,Rubick,Silencer,Axe,Slark,Juggernaut,Ogre Magi,Queen of Pain,Tidehunter,2
5449,Witch Doctor,Bounty Hunter,Juggernaut,Leshrac,Alchemist,Nature's Prophet,Templar Assassin,Nyx Assassin,Shadow Fiend,Tidehunter,2
5450,Shadow Fiend,Windrunner,Nyx Assassin,Necrolyte,Nature's Prophet,Queen of Pain,Wisp,Bounty Hunter,Anti-Mage,Mirana,1
5451,Batrider,Invoker,Centaur Warrunner,Phantom Lancer,Sniper,Visage,Luna,Jakiro,Lifestealer,Juggernaut,1
5452,Lycanthrope,Tinker,Windrunner,Medusa,Magnus,Sven,Anti-Mage,Troll Warlord,Witch Doctor,Puck,1
5453,Silencer,Clinkz,Nyx Assassin,Axe,Rubick,Bounty Hunter,Lina,Anti-Mage,Disruptor,Queen of Pain,1
5454,Spectre,Shadow Demon,Dragon Knight,Windrunner,Enchantress,Bounty Hunter,Medusa,Queen of Pain,Dark Seer,Phantom Lancer,2
5455,Riki,Nyx Assassin,Nature's Prophet,Luna,Invoker,Puck,Crystal Maiden,Phantom Lancer,Ancient Apparition,Lifestealer,1
5456,Sand King,Mirana,Shadow Fiend,Sven,Wisp,Troll Warlord,Enigma,Bounty Hunter,Disruptor,Pudge,1
5457,Troll Warlord,Magnus,Ogre Magi,Windrunner,Necrolyte,Axe,Queen of Pain,Lich,Sniper,Lifestealer,2
5458,Phantom Assassin,Nature's Prophet,Batrider,Leshrac,Wisp,Storm Spirit,Disruptor,Nyx Assassin,Weaver,Doom,2
5459,Death Prophet,Phantom Lancer,Nature's Prophet,Dragon Knight,Doom,Templar Assassin,Slark,Crystal Maiden,Beastmaster,Windrunner,1
5460,Weaver,Rubick,Ogre Magi,Templar Assassin,Tidehunter,Nyx Assassin,Drow Ranger,Slardar,Puck,Jakiro,1
5461,Magnus,Enigma,Spectre,Chaos Knight,Venomancer,Keeper of the Light,Batrider,Vengeful Spirit,Lifestealer,Dragon Knight,1
5462,Templar Assassin,Crystal Maiden,Tiny,Witch Doctor,Gyrocopter,Night Stalker,Visage,Invoker,Pudge,Weaver,2
5463,Queen of Pain,Lina,Sniper,Medusa,Clinkz,Lifestealer,Death Prophet,Riki,Pudge,Nyx Assassin,2
5464,Templar Assassin,Clockwerk,Spirit Breaker,Lycanthrope,Sniper,Magnus,Troll Warlord,Puck,Bounty Hunter,Necrolyte,2
5465,Viper,Wisp,Tiny,Magnus,Juggernaut,Lycanthrope,Sniper,Tidehunter,Centaur Warrunner,Huskar,1
5466,Nyx Assassin,Kunkka,Enigma,Naga Siren,Magnus,Shadow Fiend,Weaver,Nature's Prophet,Morphling,Rubick,1
5467,Troll Warlord,Nyx Assassin,Shadow Shaman,Zeus,Leshrac,Dazzle,Keeper of the Light,Magnus,Kunkka,Skeleton King,1
5468,Clockwerk,Wisp,Pudge,Shadow Shaman,Phantom Assassin,Invoker,Crystal Maiden,Broodmother,Mirana,Enchantress,2
5469,Skeleton King,Juggernaut,Disruptor,Windrunner,Treant Protector,Invoker,Wisp,Slark,Beastmaster,Lifestealer,1
5470,Dragon Knight,Lion,Warlock,Zeus,Tinker,Rubick,Mirana,Luna,Nyx Assassin,Windrunner,1
5471,Witch Doctor,Chen,Windrunner,Razor,Faceless Void,Death Prophet,Troll Warlord,Alchemist,Enchantress,Axe,2
5472,Doom,Windrunner,Sven,Chen,Enigma,Lifestealer,Alchemist,Spirit Breaker,Broodmother,Phantom Lancer,1
5473,Beastmaster,Juggernaut,Pudge,Drow Ranger,Crystal Maiden,Rubick,Pugna,Gyrocopter,Centaur Warrunner,Phantom Assassin,2
5474,Puck,Queen of Pain,Sniper,Doom,Tinker,Lone Druid,Luna,Spirit Breaker,Magnus,Jakiro,2
5475,Death Prophet,Bane,Troll Warlord,Phantom Lancer,Rubick,Anti-Mage,Windrunner,Vengeful Spirit,Storm Spirit,Undying,1
5476,Lich,Juggernaut,Nyx Assassin,Skeleton King,Witch Doctor,Magnus,Lina,Troll Warlord,Disruptor,Axe,2
5477,Pudge,Queen of Pain,Lifestealer,Lone Druid,Sand King,Juggernaut,Axe,Tinker,Rubick,Faceless Void,2
5478,Templar Assassin,Beastmaster,Sven,Lina,Dragon Knight,Silencer,Bane,Kunkka,Viper,Disruptor,2
5479,Jakiro,Sven,Sand King,Mirana,Batrider,Lifestealer,Shadow Shaman,Undying,Crystal Maiden,Shadow Fiend,1
5480,Bounty Hunter,Nyx Assassin,Shadow Demon,Keeper of the Light,Shadow Fiend,Lone Druid,Faceless Void,Sand King,Dazzle,Tinker,1
5481,Vengeful Spirit,Undying,Silencer,Kunkka,Batrider,Shadow Demon,Ogre Magi,Lion,Troll Warlord,Timbersaw,1
5482,Phantom Lancer,Warlock,Invoker,Alchemist,Earthshaker,Ursa,Rubick,Slardar,Kunkka,Shadow Demon,2
5483,Tidehunter,Faceless Void,Bloodseeker,Windrunner,Sven,Keeper of the Light,Brewmaster,Enigma,Clinkz,Lycanthrope,2
5484,Chaos Knight,Zeus,Tidehunter,Clinkz,Lifestealer,Outworld Devourer,Invoker,Mirana,Bounty Hunter,Tinker,1
5485,Nature's Prophet,Rubick,Troll Warlord,Dark Seer,Kunkka,Drow Ranger,Bounty Hunter,Pudge,Vengeful Spirit,Phantom Lancer,2
5486,Invoker,Morphling,Leshrac,Sand King,Brewmaster,Nature's Prophet,Dragon Knight,Disruptor,Pudge,Drow Ranger,1
5487,Ogre Magi,Enigma,Mirana,Lone Druid,Kunkka,Drow Ranger,Tidehunter,Shadow Demon,Windrunner,Vengeful Spirit,1
5488,Batrider,Witch Doctor,Clockwerk,Crystal Maiden,Riki,Invoker,Sand King,Silencer,Faceless Void,Chen,1
5489,Lion,Magnus,Templar Assassin,Riki,Treant Protector,Sand King,Storm Spirit,Shadow Demon,Lich,Outworld Devourer,2
5490,Dark Seer,Kunkka,Rubick,Necrolyte,Tiny,Troll Warlord,Clockwerk,Mirana,Doom,Chaos Knight,2
5491,Tidehunter,Alchemist,Rubick,Kunkka,Enigma,Undying,Clockwerk,Mirana,Nature's Prophet,Anti-Mage,1
5492,Razor,Nyx Assassin,Invoker,Medusa,Windrunner,Shadow Fiend,Ogre Magi,Bounty Hunter,Viper,Rubick,1
5493,Clinkz,Magnus,Lich,Sand King,Lion,Shadow Fiend,Clockwerk,Huskar,Beastmaster,Earthshaker,1
5494,Phantom Assassin,Nyx Assassin,Brewmaster,Clinkz,Vengeful Spirit,Medusa,Centaur Warrunner,Disruptor,Lina,Riki,2
5495,Sven,Spectre,Lina,Lone Druid,Pugna,Meepo,Shadow Fiend,Treant Protector,Razor,Earthshaker,2
5496,Weaver,Templar Assassin,Outworld Devourer,Drow Ranger,Lone Druid,Zeus,Troll Warlord,Lich,Bounty Hunter,Spirit Breaker,2
5497,Shadow Fiend,Spirit Breaker,Warlock,Undying,Shadow Demon,Skeleton King,Enigma,Windrunner,Bounty Hunter,Keeper of the Light,2
5498,Nature's Prophet,Juggernaut,Centaur Warrunner,Huskar,Dragon Knight,Silencer,Rubick,Windrunner,Tiny,Nyx Assassin,1
5499,Slardar,Morphling,Bounty Hunter,Jakiro,Night Stalker,Keeper of the Light,Sven,Undying,Windrunner,Queen of Pain,1
5500,Enigma,Jakiro,Slardar,Faceless Void,Puck,Juggernaut,Pudge,Slark,Crystal Maiden,Lifestealer,2
5501,Enchantress,Windrunner,Silencer,Pudge,Faceless Void,Mirana,Nature's Prophet,Juggernaut,Storm Spirit,Chen,2
5502,Nature's Prophet,Vengeful Spirit,Nyx Assassin,Gyrocopter,Silencer,Leshrac,Sniper,Windrunner,Queen of Pain,Axe,1
5503,Enchantress,Timbersaw,Nyx Assassin,Queen of Pain,Sand King,Shadow Fiend,Lifestealer,Slardar,Crystal Maiden,Lycanthrope,1
5504,Silencer,Troll Warlord,Slark,Phantom Assassin,Centaur Warrunner,Invoker,Phantom Lancer,Crystal Maiden,Death Prophet,Zeus,2
5505,Crystal Maiden,Dark Seer,Phantom Assassin,Enigma,Storm Spirit,Leshrac,Slardar,Queen of Pain,Disruptor,Spectre,2
5506,Chen,Gyrocopter,Silencer,Sven,Vengeful Spirit,Spectre,Lycanthrope,Jakiro,Keeper of the Light,Broodmother,2
5507,Storm Spirit,Crystal Maiden,Axe,Keeper of the Light,Sniper,Clockwerk,Spectre,Bounty Hunter,Rubick,Jakiro,2
5508,Tidehunter,Necrolyte,Dragon Knight,Keeper of the Light,Nature's Prophet,Rubick,Invoker,Windrunner,Crystal Maiden,Lifestealer,1
5509,Anti-Mage,Pudge,Sand King,Pugna,Leshrac,Razor,Treant Protector,Disruptor,Clinkz,Doom,1
5510,Pudge,Enchantress,Windrunner,Nature's Prophet,Lone Druid,Timbersaw,Lion,Venomancer,Slardar,Faceless Void,2
5511,Tidehunter,Viper,Lifestealer,Weaver,Gyrocopter,Shadow Fiend,Ancient Apparition,Ogre Magi,Doom,Huskar,1
5512,Mirana,Silencer,Axe,Clinkz,Alchemist,Shadow Fiend,Anti-Mage,Shadow Shaman,Bounty Hunter,Magnus,2
5513,Tiny,Lion,Mirana,Dragon Knight,Pugna,Queen of Pain,Bounty Hunter,Phantom Lancer,Lina,Keeper of the Light,2
5514,Pudge,Juggernaut,Batrider,Kunkka,Invoker,Rubick,Naga Siren,Leshrac,Lifestealer,Queen of Pain,2
5515,Magnus,Silencer,Lion,Enigma,Chaos Knight,Clockwerk,Outworld Devourer,Pugna,Timbersaw,Dragon Knight,2
5516,Lich,Windrunner,Enigma,Axe,Mirana,Nature's Prophet,Spirit Breaker,Dark Seer,Lion,Rubick,2
5517,Enchantress,Spirit Breaker,Lifestealer,Nyx Assassin,Invoker,Pudge,Gyrocopter,Slark,Ancient Apparition,Keeper of the Light,1
5518,Phantom Lancer,Keeper of the Light,Nyx Assassin,Invoker,Silencer,Centaur Warrunner,Templar Assassin,Luna,Queen of Pain,Dark Seer,1
5519,Axe,Weaver,Tinker,Faceless Void,Nature's Prophet,Crystal Maiden,Necrolyte,Alchemist,Doom,Clockwerk,2
5520,Pudge,Kunkka,Naga Siren,Keeper of the Light,Rubick,Lina,Skeleton King,Anti-Mage,Puck,Spirit Breaker,1
5521,Puck,Tidehunter,Shadow Fiend,Lone Druid,Rubick,Invoker,Nature's Prophet,Silencer,Anti-Mage,Wisp,1
5522,Lifestealer,Mirana,Vengeful Spirit,Windrunner,Puck,Witch Doctor,Riki,Gyrocopter,Meepo,Bloodseeker,2
5523,Lone Druid,Invoker,Necrolyte,Lifestealer,Windrunner,Pudge,Juggernaut,Venomancer,Nature's Prophet,Medusa,2
5524,Chen,Troll Warlord,Tidehunter,Tinker,Luna,Storm Spirit,Bane,Dazzle,Brewmaster,Riki,1
5525,Bounty Hunter,Ancient Apparition,Slardar,Timbersaw,Lina,Wisp,Storm Spirit,Sven,Nyx Assassin,Magnus,2
5526,Storm Spirit,Batrider,Luna,Windrunner,Shadow Demon,Sven,Tiny,Keeper of the Light,Bounty Hunter,Night Stalker,1
5527,Rubick,Batrider,Weaver,Bloodseeker,Beastmaster,Templar Assassin,Troll Warlord,Gyrocopter,Enigma,Lifestealer,1
5528,Shadow Fiend,Centaur Warrunner,Jakiro,Juggernaut,Earthshaker,Doom,Sven,Keeper of the Light,Nyx Assassin,Venomancer,2
5529,Invoker,Faceless Void,Centaur Warrunner,Disruptor,Mirana,Lina,Nyx Assassin,Pudge,Medusa,Wisp,2
5530,Sand King,Ogre Magi,Kunkka,Necrolyte,Huskar,Lina,Windrunner,Naga Siren,Night Stalker,Phantom Assassin,1
5531,Lion,Kunkka,Nature's Prophet,Bounty Hunter,Shadow Shaman,Keeper of the Light,Riki,Nyx Assassin,Puck,Spirit Breaker,2
5532,Warlock,Faceless Void,Nature's Prophet,Slardar,Rubick,Keeper of the Light,Windrunner,Spirit Breaker,Pudge,Doom,1
5533,Shadow Fiend,Keeper of the Light,Slardar,Brewmaster,Nature's Prophet,Mirana,Bane,Tinker,Batrider,Death Prophet,1
5534,Faceless Void,Sand King,Templar Assassin,Windrunner,Rubick,Drow Ranger,Razor,Pudge,Morphling,Invoker,1
5535,Sand King,Shadow Shaman,Dragon Knight,Naga Siren,Clockwerk,Alchemist,Lina,Rubick,Sven,Queen of Pain,2
5536,Puck,Naga Siren,Visage,Treant Protector,Venomancer,Nature's Prophet,Tinker,Luna,Lion,Mirana,2
5537,Magnus,Treant Protector,Lone Druid,Queen of Pain,Medusa,Keeper of the Light,Mirana,Vengeful Spirit,Pudge,Faceless Void,1
5538,Undying,Slark,Ogre Magi,Ancient Apparition,Medusa,Juggernaut,Pudge,Lone Druid,Faceless Void,Razor,1
5539,Sand King,Pudge,Spectre,Nature's Prophet,Luna,Invoker,Ogre Magi,Outworld Devourer,Troll Warlord,Gyrocopter,1
5540,Brewmaster,Lifestealer,Storm Spirit,Shadow Shaman,Magnus,Kunkka,Visage,Ursa,Warlock,Huskar,2
